,High,Low,Open,Close,Volume
2024/9/7,47800000,47000000,47000000,47800000,3
2024/9/8,48499990,47666666,47666666,48499990,193
2024/9/9,48888888,47999999,47999999,48888888,4
2024/9/10,50000000,47777777,48333333,48499999,10
2024/9/11,48499999,48499998,48499999,48499998,3
2024/9/12,58688877,47777777,48444444,58688877,21
2024/9/13,49555555,48000000,49555555,49550000,7
2024/9/14,49555555,49500000,49500000,49555555,5
2024/9/15,58688877,51000000,55999995,51111111,126
2024/9/16,57880000,50430000,57877777,57777777,25
2024/9/17,58888888,57879999,57880000,58888888,7
2024/9/18,58880000,57879999,57879999,58000000,45
2024/9/19,58888888,57777777,58888000,57777777,10
2024/9/20,58888888,58800000,58888880,58888888,12
2024/9/21,58888888,57999999,57999999,58888877,28
2024/9/22,58888887,57890000,58888887,57899999,10
2024/9/23,58886666,56666666,57900000,57888888,23
2024/9/24,57998888,57555555,57555555,57998888,3
2024/9/25,57000000,56666666,56666666,57000000,10
2024/9/26,58888866,50000000,57000000,56789109,27
2024/9/27,60000000,57777777,60000000,57999999,19
2024/9/28,57999996,57988888,57999000,57989999,18
2024/9/29,62222222,55555551,55555555,57999999,96
2024/9/30,63333333,55555555,56666666,56666660,23
2024/10/4,74999999,69999999,72200000,69999999,63
2024/10/5,73210000,59555555,72776666,68799998,57
2024/10/6,68799988,64555555,68799988,68780000,34
2024/10/7,133333333,66666666,68000000,127999999,43
2024/10/8,99999999,93333333,99999999,95554444,44
2024/10/9,96666666,94000000,96666655,94999999,14
2024/10/10,94999999,94000000,94000000,94500000,7
2024/10/15,148888888,98888888,109999968,129999968,273
2024/10/16,128888888,100000000,128888887,128888886,13
2024/10/17,1999999999,121111111,125555555,126555554,27
2024/10/18,144444444,119990000,144444444,119990000,14
2024/10/19,128666666,111111111,111111111,119999999,26
2024/10/20,119999999,118111111,118111111,118649998,33
2024/10/21,120000000,115000000,118555555,115333333,31
2024/10/22,125000000,105000000,114444444,105000000,10
2024/11/1,99988888,95000000,98888888,95000000,11
2024/11/2,111111111,90000000,111111111,99999888,14
2024/11/3,110000000,99999999,99999999,110000000,9
2024/11/4,141000000,108499999,108499999,138888888,7
2024/11/5,141101111,122222222,122222222,141101111,8
2024/11/6,108555555,99999999,99999999,108550000,8
2024/11/7,133233332,133000000,133222211,133222222,7
2024/11/8,155555555,133333333,133333333,155555554,6
2024/11/9,150000000,133233333,149999999,133233333,16
2024/11/10,149999999,132333333,132333333,136666666,36
2024/11/11,148888877,138888888,138888888,148888876,9
2024/11/12,145555555,118888888,118888888,145555533,5
2024/11/13,145555333,129999999,139999997,145555333,16
2024/11/14,150000000,148800000,148800000,150000000,6
2024/11/15,142222222,139999990,141111111,139999990,3
2024/11/16,139980000,133333333,139977777,139980000,4
2024/11/17,148888888,139888888,141000000,139999999,7
2025/1/16,199999999,195422222,199999999,198400000,24
2025/1/17,199999999,191111111,198398555,194940000,70
2025/1/18,233333333,180000000,194939999,183000000,36
2025/1/19,195555555,166666666,185000000,184333222,39
2025/1/20,185555555,176666666,185555555,185000000,82
2025/1/21,249777777,155555555,184166666,183000000,46
